top_dir,files,bytes,size_human
Helios Sole,288,2880544925,2.7 GB
01 GD AE,455,2000736845,1.9 GB
12 As Built TES 6,549,496127595,473 MB
Documentacion con sello PE 08,693,388940874,371 MB
07 Presentado al Condado,218,260266949,248 MB
Documentos en Servidor Atlántica,140,223095500,213 MB
05 GD Fabricación Tecnica de Compra,24,154423588,147 MB
03 GD Fabricacion LOI TES 6,81,151332740,144 MB
04 GD Fabricacon LOI TES 3,70,145275510,139 MB
09 Miscelanea,2,135525842,129 MB
02 GD LOI,98,102298740,98 MB
13_Documentos de Inspección Final,10,50509738,48 MB
Planos Solana,42,45964881,44 MB
Ejemplo PCI,1,34483545,33 MB
06 Especificaciones Tecnicas,36,21179653,20 MB
11 Sal de Solana y Corrosion,9,10317854,9.8 MB
10 Informes semanales de construccion,1,77527,76 KB
