path,size_bytes,size_human,ext,depth,mtime_iso
06 Especificaciones Tecnicas/4521-ESP-AGE-21-64-0002_Rotary Control Valve.pdf,60245,59 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-AGE-39-62-0002 Nitrogen Heaters (TES cold pump purge).pdf,131487,128 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-AGE-39-62-0006 Nitrogen Heaters (TES hot pump purge).pdf,131525,128 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-AGE-58-64-0002 Safety Relieve Valves HTF-TES.pdf,215851,211 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-AGE-58-64-0005_Heat Transfer Fluid (HTF) Services rotary contro....pdf,81262,79 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0001_Project Design Criteria.pdf,77741,76 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0002_Specification for Insulation Subcontract.pdf,191392,187 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0003 Mineral fiber insulation.pdf,74210,72 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0004 Aluminium Jaket Cover for insulation.pdf,65617,64 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0005 Removable jaketing for insulation.pdf,88770,87 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-00-62-0007 Miscellaneous insulation material.pdf,77624,76 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-27-41-S250V Mechanical Electrical Heat Trace Installation S....pdf,70878,69 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-68-64-V380_Esp valves.zip,819015,800 KB,zip,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-ESP-ANC-68-71-I250  Insulation & Heat Tracing Spec TES Area.pdf,4427865,4.2 MB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-PLN-ANC-00-50-C001.pdf,485598,474 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-PLN-ANC-00-50-S001.pdf,880431,860 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-PLN-ANC-00-50-S002.pdf,350255,342 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-PLN-ANC-00-50-S003.pdf,371091,362 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/4521-PLN-ANC-00-50-S004.pdf,347420,339 KB,pdf,1,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Obra tierra original Solana/4521-ESP-ANC-00-50-2300.pdf,129218,126 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/07.3-Technical Specifications.pdf,9687385,9.2 MB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-60-N180_Specification for Shop Applied Paint.pdf,76732,75 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-60-N185 Field applied paint.pdf,92546,90 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-60-N185_Specification for Field Applied Paint.pdf,93800,92 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-61-PS001.pdf,130959,128 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-61-PS001V.pdf,40903,40 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-61-PS002.pdf,957173,935 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-00-61-PS002V.pdf,40489,40 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-58-61-PS001.pdf,315384,308 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-58-61-PS002.pdf,133874,131 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-68-61-CS30.pdf,58667,57 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-68-61-CS31.pdf,51074,50 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-68-61-CS32.pdf,59525,58 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/4521-ESP-ANC-68-61-CS72.pdf,283717,277 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/SS37.pdf,39687,39 KB,pdf,2,2026-06-05T06:27:00.000Z
06 Especificaciones Tecnicas/Tuberia/SS38.pdf,40243,39 KB,pdf,2,2026-06-05T06:27:00.000Z
