path,size_bytes,size_human,ext,depth,mtime_iso
07 Presentado al Condado/0001_Zoning/Aprobado/S2009117-Solana HEX Planing.pdf,13529853,13 MB,pdf,3,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0001_Zoning/Aprobado/TC-0122.pdf,11156102,11 MB,pdf,3,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0001_Zoning/Solana Heat Exchangers - Site Layout.pdf,1191834,1.1 MB,pdf,2,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/CAL/4521-CAL-AEE-75-52-0001 to 04_Rev0.pdf,10195247,9.7 MB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/DRA/SOLANA TES HX Permit_Pkg_02_01_2018.pdf,5888690,5.6 MB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180323/SOLANA TES HX Permit_Pkg_02_01_2018_PAGE S1.2_rev1.pdf,573910,560 KB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180323/SOLANA TES HX Permit_Pkg_02_01_2018_PAGE S1.2.pdf,690336,674 KB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180323/SP-4 FINAL 3_23_2018_Pedro Comments.pdf,4426504,4.2 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180323/SP-4 FINAL 3_23_2018[1].pdf,1467370,1.4 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180328/Overall SIte Plan.pdf,1928180,1.8 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180403/02 SP-1 copy.pdf,5149949,4.9 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180403/S3.1  04_03_2018 copy.pdf,4834655,4.6 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180404/4521-PLN-AEE-00-00-0100_R00_S3.2.pdf,1928258,1.8 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180404/4521-PLN-AEE-00-00-0200_R00_S3.1.pdf,3247218,3.1 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180404/Sellado/Order 186461 summary.pdf,63804,62 KB,pdf,6,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180404/Sellado/S3.1  04_04_2018.pdf,1158103,1.1 MB,pdf,6,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/20180404/Sellado/S3.2  04_03_2018.pdf,1119987,1.1 MB,pdf,6,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/Solana Heat Exchangers - Site Layout_S1.1.pdf,1770432,1.7 MB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/SOLANA TES HX Permit_Pkg_02_01_2018_PAGE S1.3.pdf,2499844,2.4 MB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/SP-4-Layout1.pdf,1321586,1.3 MB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Para planificacion/SP-4.dwg,1665368,1.6 MB,dwg,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/PErmit_Cover Letter.docx,184932,181 KB,docx,3,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/SIC/Solana Special Inspection Certification.pdf,500692,489 KB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/Z2015051 Approval Documents.pdf,3528373,3.4 MB,pdf,3,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/MCPD Combined Review B201801005[2].pdf,941648,920 KB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/Response to Structural comment_Rev01.pdf,331295,324 KB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/Response to Structural comment.pdf,336087,328 KB,pdf,4,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/01 CR-1.pdf,2295147,2.2 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/02 SP-1.pdf,1628089,1.6 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/03 SP-2.pdf,630754,616 KB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/04 SP-3.pdf,1551908,1.5 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/05 SP-4.pdf,1723633,1.6 MB,pdf,5,2026-06-05T06:25:00.000Z
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/SUP julio 2015/06 SP-5.pdf,549558,537 KB,pdf,5,2026-06-05T06:25:00.000Z
