path,size_bytes,size_human,ext,depth,mtime_iso
12 As Built TES 6/00_Permit Package/01 Building Permit/4521-CAL-AEE-75-52-0001 to 0004_Rev1.pdf,25708847,25 MB,pdf,3,2026-06-05T06:25:00.000Z
12 As Built TES 6/00_Permit Package/01 Building Permit/SOLANA TES HX Permit_Pkg_Rev01.pdf,10935090,10 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/02_Zoning Permit/S2009117-Solana HEX Planing.pdf,13529853,13 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/02_Zoning Permit/TC-0122.pdf,11156102,11 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/03_Planning layout/4521-PLN-AEE-00-00-0200_REV01 (1).pdf,1158103,1.1 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/03_Planning layout/4521-PLN-AEE-00-00-0200_REV01.pdf,1158103,1.1 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/04_Grading/4521-PLN-DOT-00-00-0600_rev00.pdf,3156672,3.0 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/05_Electrical/4521-PLN-AEE-27-33-0000_Electrical Permit package.pdf,32942311,31 MB,pdf,3,2026-06-05T06:26:00.000Z
12 As Built TES 6/00_Permit Package/Z2015051 Approval Documents.pdf,3528373,3.4 MB,pdf,2,2026-06-05T06:25:00.000Z
12 As Built TES 6/01_M&P/00_Memory/4521-MEM-AEE-68-10-0001-GAR Rev 00 TES Replacement HEX Operation Philosophy.zip,159810,156 KB,zip,3,2026-06-05T06:27:00.000Z
12 As Built TES 6/01_M&P/00_Memory/4521-TAB-AEE-75-62-0001-GAR TBE MS Drain Pump.zip,65406,64 KB,zip,3,2026-06-05T06:27:00.000Z
12 As Built TES 6/01_M&P/01_Calculations/4521-CAL-AEE-58-11-0001-GAR Rev 02 HTF and MS Hydraulic Circuits Calculation Report/4521-CAL-AEE-58-11-0001-GAR Rev 02 HTF and Molten Salts Hydraulic Circuits Calculation Repo.pdf,92030,90 KB,pdf,4,2026-06-05T06:27:00.000Z
12 As Built TES 6/01_M&P/01_Calculations/4521-CAL-AEE-58-11-0001-GAR Rev 02 HTF and MS Hydraulic Circuits Calculation Report/4521-CAL-AEE-58-11-0001-GAR Rev 02 HTF and Molten Salts Hydraulic Circuits Calculation Report.docx,98093,96 KB,docx,4,2026-06-05T06:27:00.000Z
12 As Built TES 6/01_M&P/01_Calculations/4521-CAL-AEE-58-11-0001-GAR Rev 02 HTF and MS Hydraulic Circuits Calculation Report/Annex II.I (Summer Charge).pdf,41468,40 KB,pdf,4,2026-06-05T06:27:00.000Z
