path,size_bytes,size_human,ext,depth,mtime_iso
13_Documentos de Inspección Final/418-2nd-Floor-1_20210826_114012_002579.pdf,435414,425 KB,pdf,1,2026-06-05T06:25:00.000Z
13_Documentos de Inspección Final/418-2nd-Floor-1_20210826_114035_002581.pdf,297993,291 KB,pdf,1,2026-06-05T06:25:00.000Z
13_Documentos de Inspección Final/418-2nd-Floor-1_20210826_114139_002583.pdf,327386,320 KB,pdf,1,2026-06-05T06:25:00.000Z
13_Documentos de Inspección Final/418-2nd-Floor-1_20210826_114200_002585.pdf,380119,371 KB,pdf,1,2026-06-05T06:25:00.000Z
13_Documentos de Inspección Final/4521-PLN-AEE-27-33-0000_Electrical Permit package.pdf,32942311,31 MB,pdf,1,2026-06-05T06:25:00.000Z
13_Documentos de Inspección Final/Inspection Trip 9-12-19.pdf,128429,125 KB,pdf,1,2026-06-05T06:26:00.000Z
13_Documentos de Inspección Final/S2009117-Solana HEX Planing.pdf,13529853,13 MB,pdf,1,2026-06-05T06:26:00.000Z
13_Documentos de Inspección Final/S3.1  04_04_2018.pdf,1158103,1.1 MB,pdf,1,2026-06-05T06:27:00.000Z
13_Documentos de Inspección Final/S3.2  04_03_2018.pdf,1119987,1.1 MB,pdf,1,2026-06-05T06:27:00.000Z
13_Documentos de Inspección Final/Site Inspection 7-29-19sealed.pdf,190143,186 KB,pdf,1,2026-06-05T06:27:00.000Z
