path,size_bytes,size_human,ext,depth,mtime_iso
Documentos en Servidor Atlántica/1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales.docx,1598074,1.5 MB,docx,1,2026-06-08T16:13:00.000Z
Documentos en Servidor Atlántica/1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales.pdf,1508590,1.4 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-CAL-0550-25 H&MB Rev.01.pdf,454132,443 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA.pdf,520536,508 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DOC-4170-05 Espec. Tuberia.pdf,1063753,1.0 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DOC-4190-00 Rev00  RECUENTO DE TUBERIA.pdf,221923,217 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DOC-4190-00 Rev00 RECUENTO DE TUBERIA.xlsx,1447366,1.4 MB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DWG-1000-00-DISPOSICION GENERAL.pdf,1979459,1.9 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-DWG-1000-10-DIMENSIONES OBRA CIVIL.pdf,382372,373 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-0020-00_Rev01 Lista de documentos-260428.xlsx,68249,67 KB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-0020-00_Rev01 Lista de documentos.xlsx,73384,72 KB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-3010-00_Lista de Equipos Mecanicos TES.pdf,170126,166 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-3660-00 Rev01 Lista Valvulas General-260428.xlsx,60341,59 KB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-3660-00 Rev01 Lista Valvulas General.xlsx,62560,61 KB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-6000-00 Rev.01 Lista de Instrumentos.xlsx,60327,59 KB,xlsx,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-6500-00_Lista de Consumidores Eléctricos_Rev01.pdf,1342291,1.3 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-LIS-6500-00_Lista de Consumidores Eléctricos.pdf,288143,281 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-PID-3030-00 Rev.01.dwg,17102162,16 MB,dwg,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-PID-3030-00 Rev.01.pdf,2603993,2.5 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-PLN-0040-00 Planificacion.pdf,506938,495 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-PPI-001 Rev.00 - PPI MONTAJE.pdf,896545,876 KB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-TN-3000-00-Rev.00-Memoria Técnica.pdf,1966366,1.9 MB,pdf,1,2026-06-08T16:14:00.000Z
Documentos en Servidor Atlántica/1950801-TN-3000-00-Rev.01-Memoria Técnica.docx,2884099,2.8 MB,docx,1,2026-06-08T16:14:00.000Z
