path,size_bytes,size_human,ext,depth,mtime_iso
Helios Sole/Helios I/1.2 Proyecto Ejecucion HI.pdf,26222192,25 MB,pdf,2,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/2.3 Estudio SyS HI.pdf,6477671,6.2 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/2.4 Plan SyS HI.pdf,13193994,13 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/3.3.1 Resolucion DIA HI.pdf,5893624,5.6 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/3.3.2 Publicacion DIA HI.pdf,120330,118 KB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/3.3.3 Acta señalamiento HI.pdf,2827465,2.7 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/3.3.4 Cumplimiento DIA HI.pdf,2000645,1.9 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/3.3.5 DIA balsa.pdf,2978609,2.8 MB,pdf,2,2026-06-08T16:18:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0001 Principal y redundante Helios I.pdf,182514,178 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0002 Principal y redundante Helios II.pdf,188915,184 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0003 Principal y comprobante.pdf,193229,189 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0101 rev 00 Unifilar general.pdf,206943,202 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0101 rev 01 Unifilar general.pdf,299186,292 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.1 Proyecto LAAT - LSAT HI.pdf,17937215,17 MB,pdf,4,2026-06-08T16:14:00.000Z
