[sheet Lista de instrumentos]
Rev | TAG | Instrument type | Protect | Service | P&ID | Equipment / Line | Notes
00 | 10WSN10FE001 | Oriffice plate | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 1 | 2"AAA3
00 | 10WSN10CF001 | Flow transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 1 | 2"AAA3
00 | 10WSC11CP501 | Pressure gauge | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC11CP101 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC11CP102 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC12CP501 | Pressure gauge | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC12CP101 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC12CP102 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC13CP501 | Pressure gauge | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC13CP101 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSC13CP102 | Pressure transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 10"BAF9
00 | 10WSX10CP301 | Pressure safety alarm | IP65 | Cold Molten Salt | C25-180 P&ID | 20"BAF9
00 | 10WSX10CF001 | Flow transmitter | IP65 | Cold Molten Salt | 1950801-PID-3030-00 Sh 1 | 20"BAF9
00 | 10WSN11CF001 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 1 | 1"AAA3
00 | 10WSN11CF002 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 1 | 1"AAA3
00 | 10WSN11CF003 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 1 | 1"AAA3
00 | 10WSC10CP101 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 2 | 2"AAA3
00 | 10WSC10CP102 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 2 | 2"AAA3
00 | 10WSC10CP103 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 2 | 2"AAA3
00 | 10WSC10CL101 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2
00 | 10WSC10CL102 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2
00 | 10WSC10CL103 | Level transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2
00 | 10WSC10CT001 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G1
00 | 10WSC10CT002 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G1
00 | 10WSC10CT003 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G1
00 | 10WSC10CT004 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G1
00 | 10WSC10CT005 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G2
00 | 10WSC10CT006 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G2
00 | 10WSC10CT007 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G2
00 | 10WSC10CT008 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G2
00 | 10WSC10CT009 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G3
00 | 10WSC10CT010 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G3
00 | 10WSC10CT011 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G3
00 | 10WSC10CT012 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G3
00 | 10WSC10CT013 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G4
00 | 10WSC10CT014 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G4
00 | 10WSC10CT015 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G4
00 | 10WSC10CT016 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G4
