status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0001-GAR_Rev00_exchangers_foundation.zip,zip,01 GD AE,4.7 MB,73,0,4521-CAL-AEE-75-52-0001,,.yeyo-memory/cards/fdfb8a2f89b37421.json,.yeyo-memory/extracted/fdfb8a2f89b37421.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0001-GAR_Rev01_exchangers_foundation.zip,zip,01 GD AE,3.7 MB,32,0,4521-CAL-AEE-75-52-0001,,.yeyo-memory/cards/05fd3b72924c5a63.json,.yeyo-memory/extracted/05fd3b72924c5a63.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0002-GAR_Rev00_Drain_back_tank.zip,zip,01 GD AE,14 MB,75,0,4521-CAL-AEE-75-52-0002,,.yeyo-memory/cards/2ec1af3abceff23e.json,.yeyo-memory/extracted/2ec1af3abceff23e.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0002-GAR_Rev01_Drain_back_tank.zip,zip,01 GD AE,11 MB,37,0,4521-CAL-AEE-75-52-0002,,.yeyo-memory/cards/a9585d9ea8a6b95c.json,.yeyo-memory/extracted/a9585d9ea8a6b95c.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0003-GAR_Rev00_Drain_back_tank_support.zip,zip,01 GD AE,1.7 MB,73,0,4521-CAL-AEE-75-52-0003,,.yeyo-memory/cards/ed9b2fa5b748143e.json,.yeyo-memory/extracted/ed9b2fa5b748143e.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0003-GAR_Rev01_Drain_back_tank_support.zip,zip,01 GD AE,1.3 MB,36,0,4521-CAL-AEE-75-52-0003,,.yeyo-memory/cards/14bc1641562e6d00.json,.yeyo-memory/extracted/14bc1641562e6d00.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0004_Rev0-GAR.zip,zip,01 GD AE,1.3 MB,73,0,4521-CAL-AEE-75-52-,,.yeyo-memory/cards/5a056b4b3999718c.json,.yeyo-memory/extracted/5a056b4b3999718c.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-52-0004_Rev1-GAR.zip,zip,01 GD AE,999 KB,36,0,4521-CAL-AEE-75-52-,,.yeyo-memory/cards/abd34bb022662cfb.json,.yeyo-memory/extracted/abd34bb022662cfb.txt
archive_listed,01 GD AE/C&S/CAL/4521-CAL-AEE-75-54-0005-GAR_Rev00_TES Platform Structures.zip,zip,01 GD AE,2.9 MB,64,0,4521-CAL-AEE-75-54-0005,,.yeyo-memory/cards/6880806b306be3ae.json,.yeyo-memory/extracted/6880806b306be3ae.txt
archive_listed,01 GD AE/C&S/DRA/4521-PLN-AEE-00-00-0001-GAR_Rev00_Layout_new_exchangers.zip,zip,01 GD AE,5.6 MB,338,1,4521-PLN-AEE-00-00-0001,,.yeyo-memory/cards/e76bb2e5bbb30b74.json,.yeyo-memory/extracted/e76bb2e5bbb30b74.txt
archive_listed,01 GD AE/C&S/DRA/4521-PLN-AEE-00-00-0001-GAR_Rev01_Layout_new_exchangers .zip,zip,01 GD AE,4.7 MB,228,1,4521-PLN-AEE-00-00-0001,,.yeyo-memory/cards/61f1d38185ad89a1.json,.yeyo-memory/extracted/61f1d38185ad89a1.txt
archive_listed,01 GD AE/C&S/DRA/4521-PLN-AEE-68-51-0001-GAR_Rev00_Layout_new_exchangers.zip,zip,01 GD AE,5.0 MB,119,1,4521-PLN-AEE-68-51-0001,,.yeyo-memory/cards/a5b751ee7ea45413.json,.yeyo-memory/extracted/a5b751ee7ea45413.txt
