Term,Total Frequency,Document Frequency
verified,15798,31
abener,14905,350
teyma,13333,332
shall,13191,406
ope,12695,26
engineering,11775,540
description,11691,807
material,10160,393
pressure,10028,354
htf,9916,330
written,9712,621
billing,9448,301
pln,9413,565
construction,8678,709
type,8424,485
yes,8422,317
project,8211,792
document,8173,607
valve,7736,209
contract,7159,357
temperature,7004,351
cycle,6968,305
gar,6855,390
owner,6807,311
tank,6254,199
psi,6250,121
usa,6134,486
agent,5917,305
designated,5887,298
design,5829,669
salt,5817,308
sheet,5779,622
app,5779,267
flow,5499,232
partnership,5366,256
note,5366,260
provide,5091,304
specification,5083,321
age,5017,228
class,4864,248
pgv,4751,128
max,4562,262
aee,4561,342
vendor,4361,362
case,4303,138
psig,4282,183
issue,4263,479
pipe,4163,490
size,4086,275
arizona,4051,617
revision,4044,513
body,4005,215
test,3933,294
rigid,3898,164
others,3883,324
load,3876,232
zso,3800,6
drawings,3788,349
zsc,3751,6
occ,3735,13
solar,3691,630
abeinsa,3682,409
deg,3636,99
stress,3604,66
alternate,3600,303
permission,3599,503
reproduced,3593,500
anc,3576,273
cold,3518,138
model,3514,190
notes,3481,581
stamp,3462,450
steel,3435,365
heat,3433,309
supplier,3396,494
notice,3391,283
hot,3390,147
astm,3376,260
abengoa,3374,424
days,3374,310
estimates,3364,284
power,3361,327
request,3345,339
including,3345,290
allows,3332,320
required,3314,391
shop,3264,296
accordance,3256,314
esp,3256,303
bid,3234,311
hex,3233,385
applicable,3215,376
except,3185,313
area,3168,258
confidential,3159,344
cal,3155,117
client,3128,645
know,3127,307
hereon,3120,302
proprietary,3114,302
job,3113,347
purchase,3111,326
pump,3089,172
chk,3083,254
require,3079,321
part,3078,283
terms,3035,292
thirty,3007,300
billings,3004,160
reference,2959,370
refer,2921,112
insulation,2920,297
bear,2875,237
phoenix,2861,260
control,2861,296
suite,2852,272
whole,2842,247
blvd,2839,254
chandler,2837,253
report,2807,150
owners,2801,241
req,2787,250
equipment,2782,366
manufacturer,2709,352
submission,2708,250
line,2680,273
standard,2679,462
range,2676,244
drawing,2670,564
instrument,2592,181
end,2576,165
dot,2551,189
bonnet,2545,58
fluid,2519,215
supply,2516,218
calculation,2504,114
conditions,2500,272
code,2463,367
level,2386,198
connection,2378,165
cycles,2369,184
inlet,2337,133
station,2332,97
outlet,2332,106
process,2283,436
molten,2253,135
plant,2203,330
side,2186,293
length,2168,228
shoe,2150,177
air,2114,111
tag,2109,177
travel,2100,49
bar,2088,205
approved,2086,706
packing,2079,107
operating,2057,137
inch,2045,220
pit,2043,76
node,2025,10
comment,2017,179
min,1984,172
shell,1972,129
asme,1969,259
temp,1967,142
apr,1965,70
must,1963,281
reproduction,1962,128
revealed,1952,280
nozzle,1948,95
valves,1946,177
primary,1943,65
procedure,1919,187
generating,1914,75
plate,1866,327
seal,1863,103
unit,1841,194
psia,1832,95
loi,1813,177
sch,1808,116
linear,1793,43
main,1791,360
jag,1774,37
position,1772,107
stem,1741,72
ing,1731,140
delivery,1730,345
drain,1710,172
open,1680,233
angle,1659,56
status,1640,399
minimum,1624,220
specifications,1611,228
actuator,1585,35
scale,1578,359
close,1576,78
diameter,1573,101
maximum,1551,205
flowserve,1543,18
approval,1518,255
point,1513,334
final,1511,420
pqj,1509,130
tube,1495,168
platform,1490,55
ansi,1478,173
according,1475,289
materials,1467,163
thickness,1467,313
field,1465,318
ibc,1459,32
ref,1454,436
gpm,1445,64
specific,1442,273
per,1419,217
exchanger,1412,172
calculated,1408,62
requirements,1406,259
failure,1406,157
none,1396,74
grade,1392,133
operation,1387,165
hazardous,1386,105
loads,1376,247
jun,1375,78
ppt,1374,63
signal,1373,123
bottom,1369,188
engineer,1365,85
transmitter,1355,89
wcb,1352,37
tbd,1349,18
normal,1339,209
allowable,1332,77
off,1331,90
weld,1330,156
typical,1328,240
globe,1320,70
issued,1318,275
instructions,1313,242
long,1303,273
gasket,1282,209
cover,1273,243
tcs,1269,132
flange,1261,126
technical,1242,343
during,1232,234
bend,1232,88
density,1232,142
spring,1231,67
standards,1228,248
quantity,1221,194
hart,1219,88
existing,1211,234
trim,1209,124
input,1203,202
combination,1199,23
form,1199,262
prior,1195,236
bending,1194,41
nitrogen,1182,83
property,1179,361
table,1177,135
evealed,1162,32
orientation,1162,234
comments,1161,231
details,1160,227
guide,1159,262
inspection,1156,272
action,1154,52
mat,1151,61
static,1143,33
section,1142,186
following,1141,295
wall,1134,65
structures,1129,44
jmrl,1129,62
ring,1123,118
anti,1102,84
schedule,1098,233
using,1092,449
profile,1091,153
gauges,1088,72
check,1080,123
plug,1077,114
weight,1073,132
stainless,1069,244
exchangers,1065,137
signals,1062,48
base,1058,162
jhr,1056,110
examination,1055,104
gap,1047,122
cycl,1045,11
carbon,1045,126
water,1043,233
suction,1042,33
installation,1039,261
foundation,1038,89
spl,1037,4
included,1024,277
supports,1024,142
ccm,1022,4
detail,1022,256
direction,1021,85
buttweld,1009,60
npt,1008,96
classification,1000,120
inside,998,71
ratio,995,42
identified,994,192
mar,994,93
lointek,992,118
welded,988,249
piping,987,146
etc,982,219
loaned,982,199
analog,975,39
lis,973,161
updated,968,70
item,967,221
division,966,86
llc,964,103
nov,963,79
annex,962,82
borrower,958,199
dated,957,241
switch,957,67
std,956,62
testing,954,214
change,932,286
local,931,130
buyer,928,12
center,926,35
iga,925,96
electrical,924,132
calibration,920,134
conn,920,76
scope,919,253
triple,918,121
ijb,907,13
units,906,367
secondary,906,24
bearing,903,83
seat,895,67
rating,892,104
epc,891,256
results,889,96
same,889,133
between,886,159
graphite,885,89
lbs,881,50
safety,880,215
shutoff,876,42
head,875,90
live,872,44
documents,872,235
outside,871,44
quality,868,266
shipment,867,154
block,866,252
element,866,242
purpose,863,311
contractor,862,281
provided,860,328
replacement,858,300
parts,858,222
reviewed,857,354
value,854,197
hdd,854,101
metal,853,73
welding,851,128
attached,849,341
protection,849,190
shown,845,118
definition,843,234
reproductions,841,199
performance,840,236
manufactur,839,28
sizing,836,67
api,835,92
lmob,829,21
doc,828,172
oil,825,194
surface,820,107
tit,820,19
viscosity,819,86
location,814,196
oct,813,69
agreement,813,355
applied,809,210
factor,808,56
indicator,806,74
analysis,805,81
spec,803,235
amb,801,4
jmgl,799,14
bolts,798,156
gui,798,12
feet,797,94
vessel,783,57
face,783,92
seamless,778,72
assembly,775,275
diaphragm,775,57
coefficient,772,82
specifically,771,140
mean,770,137
stroke,767,27
positioner,761,33
dec,760,32
above,759,138
thermal,759,157
disp,759,2
box,754,172
due,749,142
pumps,746,54
mark,746,61
defined,743,220
certificates,742,68
round,741,143
storage,738,211
application,736,223
filter,734,54
calculations,726,198
phase,722,129
stellite,719,30
liquid,718,137
prepared,715,317
plot,713,5
structure,711,203
way,702,262
shear,699,39
documentation,695,211
bolt,693,67
submit,692,271
single,691,285
ends,687,63
dead,686,19
crane,682,26
built,681,140
amm,678,31
piece,676,44
rtd,675,37
channel,673,71
non,673,163
cable,673,89
gas,671,107
bundle,669,49
clamp,669,9
submitted,668,301
within,668,260
ins,667,144
sec,665,65
alloy,664,80
option,663,160
force,657,45
sol,656,73
sheets,654,279
radius,654,13
salts,652,67
identification,650,104
increase,650,61
aisi,649,55
customer,647,213
before,646,230
membrane,646,8
disc,645,57
concrete,641,44
corrosion,641,192
unless,641,205
covers,640,223
transmitters,637,62
finish,636,87
cooling,631,70
integral,629,59
rotary,627,39
allowed,625,85
far,623,35
exp,616,20
instruments,615,197
tubesheet,615,51
considered,612,211
low,610,99
clr,610,98
offset,609,58
express,606,307
loaded,602,44
signed,602,131
motor,600,34
consent,600,311
vertical,598,119
bellows,598,19
changes,596,181
shaft,596,27
fabricator,596,136
damage,593,172
listed,593,177
indicated,590,137
isometric,588,209
