status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
needs_ocr_or_empty,03 GD Fabricacion LOI TES 6/WPS Y PQR/Cualificación de soldadores.pdf,pdf,03 GD Fabricacion LOI TES 6,2.3 MB,0,0,,,.yeyo-memory/cards/3796dc96b44e7d50.json,
needs_ocr_or_empty,03 GD Fabricacion LOI TES 6/WPS Y PQR/W.List - Unit 1 - 6MX-A.PDF,pdf,03 GD Fabricacion LOI TES 6,414 KB,0,0,,,.yeyo-memory/cards/d04e42988a166176.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201 - Placas de características selladas.pdf,pdf,04 GD Fabricacon LOI TES 3,2.1 MB,0,0,,,.yeyo-memory/cards/f0bcdacfe1005761.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-003.00 NOZZLES.pdf,pdf,04 GD Fabricacon LOI TES 3,267 KB,0,0,,,.yeyo-memory/cards/79ac03806da3a39e.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-004.00 SHELL&CHANNEL.pdf,pdf,04 GD Fabricacon LOI TES 3,1.2 MB,0,0,,,.yeyo-memory/cards/b3a08f26ca05d16b.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-006.00 CHANNEL PARTITION.pdf,pdf,04 GD Fabricacon LOI TES 3,286 KB,0,0,,,.yeyo-memory/cards/6ad5c4e1fbe3cb67.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-007.00 H1 SADDLES.pdf,pdf,04 GD Fabricacon LOI TES 3,534 KB,0,0,,,.yeyo-memory/cards/33f853bb1a779b4f.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-007.00 H2 SADDLES.pdf,pdf,04 GD Fabricacon LOI TES 3,528 KB,0,0,,,.yeyo-memory/cards/a1cd27376f92999c.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-100.00 NAME PLATE.pdf,pdf,04 GD Fabricacon LOI TES 3,266 KB,0,0,,,.yeyo-memory/cards/fc8bc31e9440c01c.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-110.00 H1 TRASPORT.pdf,pdf,04 GD Fabricacon LOI TES 3,413 KB,0,0,,,.yeyo-memory/cards/8c31743e5f8ac2c2.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dibujo/1950201-DWG-110.00 H2 TRASPORT.pdf,pdf,04 GD Fabricacon LOI TES 3,385 KB,0,0,,,.yeyo-memory/cards/f4630c301f8d3a2b.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/1950201-HElio-U1-6.pdf,pdf,04 GD Fabricacon LOI TES 3,3.5 MB,0,0,,,.yeyo-memory/cards/cd02df6b43a41454.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/9.1. HT REPORTS 1950201.pdf,pdf,04 GD Fabricacon LOI TES 3,3.9 MB,0,0,,,.yeyo-memory/cards/a75e80d9afc142fc.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/HELIO U1 y U2.pdf,pdf,04 GD Fabricacon LOI TES 3,167 KB,0,0,,,.yeyo-memory/cards/99392e682ae9051b.json,
needs_ocr_or_empty,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/HELIO U3 y U4.pdf,pdf,04 GD Fabricacon LOI TES 3,164 KB,0,0,,,.yeyo-memory/cards/683fa1a8fdb71c65.json,
