score,send_policy,ocr_priority,path,title,doc_code,revision,ext,status,source_corpus,project_area,deliverable_part,discipline,extraction_quality,ai_action,reuse_priority,page_count,indexed_reference_count,text_chars,chunks,size_human,score_reasons,card_path,extracted_path
0,no_enviar_hasta_ocr_selectivo,85,06 Especificaciones Tecnicas/Tuberia/07.3-Technical Specifications.pdf,07.3-Technical Specifications,,,pdf,needs_ocr_or_empty,Repositorio Solana / Yeyo,General,Pliego de condiciones,Proceso / mecanica / tuberias,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,118,0,0,0,9.2 MB,parte principal del proyecto,.yeyo-memory/cards/d17ce96ff96bac12.json,
0,no_enviar_hasta_ocr_selectivo,85,Documentacion con sello PE 08/Paquete de construccion SMWP/M&P/ESP/07.3-Technical Specifications.pdf,07.3-Technical Specifications,,,pdf,needs_ocr_or_empty,Documentacion con sello PE 08,General,Pliego de condiciones,Proceso / mecanica / tuberias,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,118,0,0,0,9.2 MB,parte principal del proyecto,.yeyo-memory/cards/1827ecd6bc2978e4.json,
0,no_enviar_hasta_ocr_selectivo,60,Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/Línea 15 kV.pdf,Línea 15 kV,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,Electrica,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,1,0,0,0,13 MB,,.yeyo-memory/cards/cb10fed04ab1bde4.json,
0,no_enviar_hasta_ocr_selectivo,60,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.6 Formulario PS.pdf,5.7.1.6 Formulario PS,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,Electrica,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,10,0,0,0,11 MB,,.yeyo-memory/cards/48f205a2d4c0cd88.json,
0,no_enviar_hasta_ocr_selectivo,60,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.3 PCI/5.7.3.5 Formulario PS.pdf,5.7.3.5 Formulario PS,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,PCI,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,9,0,0,0,11 MB,,.yeyo-memory/cards/1d26856252d508cb.json,
0,no_enviar_hasta_ocr_selectivo,45,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/1950201-HElio-U1-6.pdf,1950201-HElio-U1-6,,,pdf,needs_ocr_or_empty,Repositorio Solana / Yeyo,TES / almacenamiento,Documentacion auxiliar,Proceso / mecanica / tuberias,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,58,0,0,0,3.5 MB,,.yeyo-memory/cards/cd02df6b43a41454.json,
0,no_enviar_hasta_ocr_selectivo,45,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/9.1. HT REPORTS 1950201.pdf,9.1. HT REPORTS 1950201,,,pdf,needs_ocr_or_empty,Repositorio Solana / Yeyo,TES / almacenamiento,Documentacion auxiliar,Proceso / mecanica / tuberias,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,67,0,0,0,3.9 MB,,.yeyo-memory/cards/a75e80d9afc142fc.json,
0,no_enviar_hasta_ocr_selectivo,45,04 GD Fabricacon LOI TES 3/Dossier final fabricacion/Helio U1-5.pdf,Helio U1-5,,,pdf,needs_ocr_or_empty,Repositorio Solana / Yeyo,TES / almacenamiento,Documentacion auxiliar,Proceso / mecanica / tuberias,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,47,0,0,0,2.8 MB,,.yeyo-memory/cards/ff23731e13fdda83.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/3.3.1 Resolucion DIA HI.pdf,3.3.1 Resolucion DIA HI,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,12,0,0,0,5.6 MB,,.yeyo-memory/cards/298c99ceec2f89b3.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/3.3.3 Acta señalamiento HI.pdf,3.3.3 Acta señalamiento HI,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,7,0,0,0,2.7 MB,,.yeyo-memory/cards/c4919a23520db284.json,
