path,doc_code,revision,title,type,topic,readability,status,size_human,text_chars,chunks,token_estimate,info_band,card_path,extracted_path
01 GD AE/C&S/Plataforma de acero TES/4521-CAL-AGE-58-54-2001.pdf,4521-CAL-AGE-58-54-2001,,4521-CAL-AGE-58-54-2001,Calculo,Civil y estructuras,legible,ok,20 MB,1691830,1071,422957,muy alta,.yeyo-memory/cards/79e712231120f43e.json,.yeyo-memory/extracted/79e712231120f43e.txt
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0001-GAR_Rev01_exchangers_foundation/4521-CAL-AGE-75-52-0001_Rev1.pdf,4521-CAL-AGE-75-52-,,4521-CAL-AGE-75-52-0001 Rev1,Calculo,Civil y estructuras,legible,ok,3.8 MB,89606,57,22401,alta,.yeyo-memory/cards/ec873a72aad1bfb0.json,.yeyo-memory/extracted/ec873a72aad1bfb0.txt
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0002-GAR_Rev01_Drain_back_tank/4521-CAL-AGE-75-52-0002_Rev 1-GAR.pdf,4521-CAL-AGE-75-52-,,4521-CAL-AGE-75-52-0002 Rev 1-GAR,Calculo,Civil y estructuras,legible,ok,11 MB,84336,54,21084,alta,.yeyo-memory/cards/ac38eebe2f87d155.json,.yeyo-memory/extracted/ac38eebe2f87d155.txt
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0003-GAR_Rev01_Drain_back_tank_support/4521-CAL-AGE-75-52-0003_Rev1-GAR.pdf,4521-CAL-AGE-75-52-,,4521-CAL-AGE-75-52-0003 Rev1-GAR,Calculo,Civil y estructuras,legible,ok,1.4 MB,78581,50,19645,alta,.yeyo-memory/cards/b2f50a55509ec7ff.json,.yeyo-memory/extracted/b2f50a55509ec7ff.txt
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0004_Rev1-GAR_Drain back tank platform/4521-CAL-AEE-75-52-0004_Rev1-GAR.pdf,4521-CAL-AEE-75-52-,,4521-CAL-AEE-75-52-0004 Rev1-GAR,Calculo,Civil y estructuras,legible,ok,1.0 MB,74106,47,18526,alta,.yeyo-memory/cards/1f7673952c75d2b6.json,.yeyo-memory/extracted/1f7673952c75d2b6.txt
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-54-0005-GAR_Rev00_TES Platform Structures/4521-CAL-AEE-75-54-0005-GAR.pdf,4521-CAL-AEE-75-54-0005,,4521-CAL-AEE-75-54-0005-GAR,Calculo,Civil y estructuras,legible,ok,2.1 MB,630549,399,157637,muy alta,.yeyo-memory/cards/203d932f98457d40.json,.yeyo-memory/extracted/203d932f98457d40.txt
Documentos en Servidor Atlántica/1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales.pdf,,,1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales,Calculo,Civil y estructuras,legible,ok,1.4 MB,13165,9,3291,media,.yeyo-memory/cards/3bebb88beb29a614.json,.yeyo-memory/extracted/3bebb88beb29a614.txt
Documentos en Servidor Atlántica/Antiguo/00 Old/1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales.pdf,,,1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales,Calculo,Civil y estructuras,legible,ok,1.4 MB,13165,9,3291,media,.yeyo-memory/cards/f3422f0ac0d44345.json,.yeyo-memory/extracted/f3422f0ac0d44345.txt
Documentos en Servidor Atlántica/Antiguo/00 Old/260325/1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales.pdf,,,1950801-CAL-0002.00-Calculo Estructural estructura plataforma soporte bombas de sales,Calculo,Civil y estructuras,legible,ok,1.4 MB,13165,9,3291,media,.yeyo-memory/cards/2eec6133a30818f3.json,.yeyo-memory/extracted/2eec6133a30818f3.txt
11 Sal de Solana y Corrosion/ESTUDIO DE CORROSIÓN DE 2 ABG/REPORT 068980-Corrosion study on A516Gr70 steel coupons (00000002).pdf,,,REPORT 068980-Corrosion study on A516Gr70 steel coupons (00000002),Informe,Civil y estructuras,legible,ok,1.6 MB,13336,9,3334,media,.yeyo-memory/cards/ce768f40e802e20e.json,.yeyo-memory/extracted/ce768f40e802e20e.txt
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/Response to Structural comment.pdf,,,Response to Structural comment,Isometrico,Civil y estructuras,tagged_plan,tagged_plan,328 KB,0,0,0,sin texto util,.yeyo-memory/cards/710c0b8c3e623909.json,
07 Presentado al Condado/0002_Building Permiso/Rev00/ZZ_comments MCPD/Response to Structural comment_Rev01.pdf,,,Response to Structural comment Rev01,Isometrico,Civil y estructuras,tagged_plan,tagged_plan,324 KB,0,0,0,sin texto util,.yeyo-memory/cards/cb945702d4f4dcf4.json,
11 Sal de Solana y Corrosion/3 SANDIA - CORROSIÓN DEL ACERO AL CARBONO/SAND2010-7594 A516 carbon steel corrosion.pdf,,,SAND2010-7594 A516 carbon steel corrosion,Otros / sin clasificar,Civil y estructuras,legible,ok,3.2 MB,39247,25,9811,alta,.yeyo-memory/cards/362a5d353ba50adf.json,.yeyo-memory/extracted/362a5d353ba50adf.txt
Documentos en Servidor Atlántica/1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA.pdf,,,1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA,Otros / sin clasificar,Civil y estructuras,legible,ok,508 KB,31470,20,7867,alta,.yeyo-memory/cards/3a07ee82edd6f7d9.json,.yeyo-memory/extracted/3a07ee82edd6f7d9.txt
Documentos en Servidor Atlántica/1950801-DWG-1000-10-DIMENSIONES OBRA CIVIL.pdf,,,1950801-DWG-1000-10-DIMENSIONES OBRA CIVIL,Otros / sin clasificar,Civil y estructuras,legible,ok,373 KB,948,1,237,baja,.yeyo-memory/cards/fed4876dd1d16022.json,.yeyo-memory/extracted/fed4876dd1d16022.txt
Documentos en Servidor Atlántica/Antiguo/00 Old/1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA.pdf,,,1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA,Otros / sin clasificar,Civil y estructuras,legible,ok,508 KB,31470,20,7867,alta,.yeyo-memory/cards/03ce55354e4e0c01.json,.yeyo-memory/extracted/03ce55354e4e0c01.txt
Documentos en Servidor Atlántica/Antiguo/00 Old/260326/1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA.pdf,,,1950801-DOC-4130.00-RECUENTO DE ESTRUCTURA,Otros / sin clasificar,Civil y estructuras,legible,ok,508 KB,31470,20,7867,alta,.yeyo-memory/cards/c8965a7f1a1e685a.json,.yeyo-memory/extracted/c8965a7f1a1e685a.txt
Helios Sole/Helios I/5.16 Obra civil/5.16.1 Proyecto OC HI.pdf,,,5.16.1 Proyecto OC HI,Otros / sin clasificar,Civil y estructuras,metadata_only,metadata_only,692 MB,0,0,0,sin texto util,.yeyo-memory/cards/6084eb38c18bbb16.json,
Helios Sole/Helios I/5.16 Obra civil/5.16.2 CDO OC HI.pdf,,,5.16.2 CDO OC HI,Otros / sin clasificar,Civil y estructuras,legible,ok,240 KB,1968,2,492,baja,.yeyo-memory/cards/62aa5154abdf212f.json,.yeyo-memory/extracted/62aa5154abdf212f.txt
Helios Sole/Helios II/5.16 Obra civil/5.16.1 Proy OC HII.pdf,,,5.16.1 Proy OC HII,Otros / sin clasificar,Civil y estructuras,metadata_only,metadata_only,779 MB,0,0,0,sin texto util,.yeyo-memory/cards/b2dc4625c4ce87b9.json,
Helios Sole/Helios II/5.16 Obra civil/5.16.2 CDO OC HII.pdf,,,5.16.2 CDO OC HII,Otros / sin clasificar,Civil y estructuras,legible,ok,265 KB,1974,2,493,baja,.yeyo-memory/cards/51512a2e7d52201e.json,.yeyo-memory/extracted/51512a2e7d52201e.txt
