path,doc_code,revision,plan_kind,status,previous_status,top_dir,size_human,card_path
07 Presentado al Condado/0002_Building Permiso/Rev00/CAL/4521-CAL-AEE-75-52-0001 to 04_Rev0.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,9.7 MB,.yeyo-memory/cards/d47fdccaf4c7a39b.json
07 Presentado al Condado/0002_Building Permiso/Rev01/CAL/4521-CAL-AEE-75-52-0001 to 0004_Rev1.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,25 MB,.yeyo-memory/cards/6b76b1175b5ece9a.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01_S1.1 sealed.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,887 KB,.yeyo-memory/cards/85f2cd473d69b5fe.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,3.7 MB,.yeyo-memory/cards/07090528e0e24eeb.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0002-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0002,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,1.5 MB,.yeyo-memory/cards/0699749f574d1400.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0006_REV01_SEALED.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,2.0 MB,.yeyo-memory/cards/90c86c4ea5d33808.json
12 As Built TES 6/00_Permit Package/01 Building Permit/4521-CAL-AEE-75-52-0001 to 0004_Rev1.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,12 As Built TES 6,25 MB,.yeyo-memory/cards/022541634e7141b7.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01/4521-PLN-AEE-75-52-0001-GAR_Rev01.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,12 As Built TES 6,3.7 MB,.yeyo-memory/cards/e9ad94e9c98e8926.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0002_Rev02_Drain back tank pit/4521-PLN-AEE-75-52-0002_Rev02_Drain back tank pit.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,1.1 MB,.yeyo-memory/cards/829f3f4f8fc0e4c8.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0003_Rev01_Drain-back tank support/4521-PLN-AEE-75-52-0003_Rev01_Drain-back tank support.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,363 KB,.yeyo-memory/cards/eba27475b642c4c5.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0004_Rev01_Drain-back tank Platform/4521-PLN-AEE-75-52-0004_Rev01_Drain-back tank Platform.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,558 KB,.yeyo-memory/cards/799600bacfcf7208.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0006-GAR_Rev10_Exchangers_Pipe_Support_foundations/4521-PLN-AEE-75-52-0006-GAR_Rev10.pdf,4521-PLN-AEE-75-52-0006,,Cimentacion / foundation,ok,ok,12 As Built TES 6,2.6 MB,.yeyo-memory/cards/d3f337618d7a9c99.json
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0001-GAR_Rev01_exchangers_foundation/4521-CAL-AGE-75-52-0001_Rev1.pdf,4521-CAL-AGE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,3.8 MB,.yeyo-memory/cards/ec873a72aad1bfb0.json
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0004_Rev1-GAR_Drain back tank platform/4521-CAL-AEE-75-52-0004_Rev1-GAR.pdf,4521-CAL-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,1.0 MB,.yeyo-memory/cards/1f7673952c75d2b6.json
